City_ID,country_code,city,lat,lng,date,max_temp,humidity,wind_speed,cloudiness
0,au,perth,-31.98741581046388,115.86,1651070076,15.57,93,93,75
1,id,martapura,-3.4796177372299013,115.86,1651070076,24.72,92,92,99
2,au,albany,-44.05771647159751,115.86,1651070076,7.52,69,69,98
3,ru,saskylakh,80.9433747049242,115.86,1651070076,-23.58,100,100,13
4,au,karratha,-22.11153250847029,115.86,1651070076,23.59,41,41,44
5,au,carnarvon,-24.767840493949365,115.86,1651070077,20.13,53,53,0
6,id,praya,-10.58522764914406,115.86,1651070077,28.66,69,69,98
7,ru,pervomayskiy,51.3867682146433,115.86,1651070077,2.63,25,25,82
8,au,northam,-30.573717754177686,115.86,1651070077,13.32,78,78,66
9,au,busselton,-34.67206374714201,115.86,1651070077,15.52,71,71,95
10,cn,nanchang,28.264591010126153,115.86,1651070078,21.55,87,87,80
11,my,limbang,4.2627677997260776,115.86,1651070078,16.97,99,99,100
12,id,balikpapan,-1.3800001857003679,115.86,1651070078,23.06,95,95,100
13,au,geraldton,-26.516763565114488,115.86,1651070078,17.23,56,56,3
14,ru,udachnyy,67.74924747111808,115.86,1651070078,-11.1,92,92,100
15,id,tarakan,2.308495710009197,115.86,1651070078,19.13,97,97,100
16,cn,renqiu,38.605461753973316,115.86,1651070078,12.7,39,39,97
17,cn,hengshui,37.392001982330996,115.86,1651070079,13.72,27,27,70
18,id,samarinda,0.5869622046820098,115.86,1651070079,21.2,94,94,100
19,id,loa janan,0.24672986628289095,115.86,1651070079,23.42,94,94,100
20,ph,cabra,13.629686739460496,115.86,1651070079,29.39,77,77,97
21,cn,zhangjiakou,42.29357547036281,115.86,1651070079,1.77,79,79,100
22,my,kota belud,6.731057283413406,115.86,1651070079,27.21,78,78,100
23,ru,kropotkin,58.125902957215345,115.86,1651070079,-5.33,88,88,100
24,cn,yanggu,35.88002551304794,115.86,1651070080,16.27,32,32,64
25,ru,olovyannaya,51.19834442731246,115.86,1651070080,3.22,26,26,80
26,id,kalianget,-5.857026648532766,115.86,1651070080,29.25,72,72,95
27,mn,baruun-urt,46.0637844733493,115.86,1651070080,1.53,25,25,0
28,cn,gushi,31.54493486010351,115.86,1651070080,13.46,83,83,88
29,id,barabai,-2.706095979340418,115.86,1651070081,21.83,96,96,100
30,cn,bozhou,33.8293664243985,115.86,1651070081,15.69,47,47,93
31,ph,ransang,10.77847131199465,115.86,1651070081,29.01,75,75,100
32,ph,taburi,9.35333641644101,115.86,1651070081,27.79,78,78,100
33,au,australind,-33.2827843921507,115.86,1651070081,12.26,72,72,100
34,cn,changping,40.888728494144175,115.86,1651070081,4.86,91,91,100
35,my,papar,5.553381924195875,115.86,1651070082,25.02,92,92,100
36,ru,bukachacha,54.24908438274386,115.86,1651070082,-3.85,59,59,100
37,cn,zhuozhou,39.18662467952268,115.86,1651070082,11.21,46,46,100
